,,Ages 16+,,,,,,,,Ages 16-29,,,,,,,,Ages 30-49,,,,,,,,Ages 50+,,,,,,,
MSA,FIPS,16+_2019_metro_rank,16+_2019_metro_perc,16+_2000_metro_perc,16+_2019_dollars_women,16+_2019_dollars_men,16+_2000_dollars_women,16+_2000_dollars_men,16+_map_change,16_29_2019_metro_rank,16_29_2019_metro_perc,16_29_2000_metro_perc,16_29_2019_dollars_women,16_29_2019_dollars_men,16_29_2000_dollars_women,16_29_2000_dollars_men,16_29_map_change,30_49_2019_metro_rank,30_49_2019_metro_perc,30_49_2000_metro_perc,30_49_2019_dollars_women,30_49_2019_dollars_men,30_49_2000_dollars_women,30_49_2000_dollars_men,30_49_map_change,50+_2019_metro_rank,50+_2019_metro_perc,50+_2000_metro_perc,50+_2019_dollars_women,50+_2019_dollars_men,50+_2000_dollars_women,50+_2000_dollars_men,50+_map_change
"Cleveland-Elyria, OH",17460,170,78%,70%,"$42,615","$54,334","$43,099","$61,570",-0.08,150,88%,82%,"$30,544","$34,616","$33,863","$41,406",-0.06,177,78%,73%,"$45,815","$58,595","$46,177","$63,263",-0.05,136,74%,64%,"$47,265","$63,619","$44,484","$69,574",-0.10
"Coeur d'Alene, ID",17660,96,82%,no data,"$35,610","$43,164",no data,no data,no data,138,89%,no data,"$25,569","$28,765",no data,no data,no data,196,77%,0%,"$40,000","$52,147",no data,no data,no data,30,82%,0%,"$39,700","$48,601",no data,no data,no data
"College Station-Bryan, TX",17780,178,78%,no data,"$37,288","$47,941",no data,no data,no data,212,82%,no data,"$26,200","$32,000",no data,no data,no data,167,79%,0%,"$42,000","$53,268",no data,no data,no data,120,75%,0%,"$46,833","$62,576",no data,no data,no data
"Colorado Springs, CO",17820,111,82%,74%,"$41,717","$51,138","$40,020","$53,874",-0.07,35,98%,90%,"$30,544","$31,288","$30,785","$34,017",-0.07,210,75%,71%,"$45,000","$59,660","$43,099","$60,492",-0.04,198,69%,65%,"$47,941","$69,000","$44,330","$68,189",-0.04
"Columbia, MO",17860,58,84%,79%,"$40,484","$47,941","$38,481","$48,640",-0.05,66,94%,87%,"$31,961","$33,903","$30,785","$35,403",-0.07,97,83%,80%,"$43,779","$52,942","$43,099","$53,874",-0.03,98,76%,63%,"$44,846","$59,051","$43,869","$69,266",-0.13
"Columbia, SC",17900,132,80%,no data,"$37,769","$46,932",no data,no data,no data,191,84%,no data,"$27,000","$31,961",no data,no data,no data,96,83%,0%,"$40,725","$49,018",no data,no data,no data,94,76%,0%,"$42,761","$56,113",no data,no data,no data
"Columbus, OH",18140,92,83%,75%,"$44,891","$54,233","$44,638","$59,877",-0.08,79,93%,89%,"$33,270","$35,610","$36,942","$41,560",-0.05,114,82%,76%,"$49,018","$60,000","$47,717","$63,109",-0.06,86,77%,67%,"$49,852","$64,746","$46,177","$69,266",-0.10
"Corpus Christi, TX",18580,232,72%,69%,"$35,000","$48,560","$33,863","$48,794",-0.03,232,80%,80%,"$25,000","$31,322","$25,705","$32,324",0,229,73%,69%,"$37,769","$51,797","$36,942","$53,874",-0.04,236,64%,60%,"$37,769","$58,595","$36,634","$61,570",-0.05
"Dallas-Fort Worth-Arlington, TX",19100,70,84%,79%,"$44,243","$52,876","$46,177","$58,491",-0.05,56,95%,96%,"$31,562","$33,374","$36,942","$38,481",0.01,56,85%,74%,"$48,000","$56,319","$47,717","$64,648",-0.11,79,77%,67%,"$50,000","$64,746","$47,717","$70,959",-0.10
"Daphne-Fairhope-Foley, AL",19300,227,74%,67%,"$37,546","$50,906","$33,863","$50,795",-0.07,97,92%,71%,"$25,000","$27,116","$26,167","$36,942",-0.21,134,80%,70%,"$42,615","$53,000","$38,481","$54,797",-0.10,246,58%,59%,"$37,288","$63,922","$36,480","$61,570",0.01
"Dayton, OH",19380,193,77%,69%,"$40,000","$52,000","$41,560","$60,031",-0.08,227,80%,78%,"$28,596","$35,610","$31,093","$39,713",-0.02,121,81%,71%,"$43,164","$53,268","$44,638","$63,109",-0.10,212,69%,63%,"$43,254","$63,000","$46,177","$73,884",-0.06
"Decatur, AL",19460,243,68%,65%,"$32,589","$47,852","$34,941","$53,874",-0.03,234,79%,69%,"$25,683","$32,373","$25,398","$36,942",-0.11,239,70%,69%,"$36,503","$52,000","$38,481","$55,875",-0.01,243,62%,56%,"$34,531","$55,996","$38,481","$69,266",-0.06
"Decatur, IL",19500,244,68%,63%,"$36,652","$53,955","$36,942","$58,491",-0.05,246,70%,67%,"$24,077","$34,531","$27,706","$41,560",-0.03,199,77%,66%,"$39,927","$52,147","$38,481","$58,491",-0.11,217,68%,56%,"$42,761","$62,576","$38,789","$69,266",-0.12
"Deltona-Daytona Beach-Ormond Beach, FL",19660,41,85%,73%,"$35,634","$41,717","$33,863","$46,177",-0.12,183,85%,81%,"$26,073","$30,544","$26,167","$32,324",-0.04,66,85%,75%,"$36,503","$43,164","$36,942","$49,256",-0.10,47,80%,69%,"$40,725","$50,906","$36,942","$53,874",-0.11
"Denver-Aurora-Lakewood, CO",19740,65,84%,78%,"$50,000","$59,660","$47,717","$61,570",-0.06,48,95%,89%,"$36,000","$37,769","$38,481","$43,099",-0.06,84,84%,78%,"$54,233","$64,746","$51,565","$66,188",-0.06,109,75%,68%,"$55,000","$73,006","$51,873","$76,808",-0.08
"Des Moines-West Des Moines, IA",19780,107,82%,no data,"$45,815","$56,000",no data,no data,no data,168,87%,no data,"$34,518","$39,707",no data,no data,no data,82,84%,0%,"$50,718","$60,490",no data,no data,no data,18,84%,0%,"$52,147","$62,000",no data,no data,no data
"Detroit-Warren-Dearborn, MI",19820,223,74%,63%,"$44,100","$59,351","$46,177","$73,884",-0.12,141,89%,80%,"$31,961","$36,000","$36,942","$46,177",-0.09,181,77%,66%,"$47,975","$62,000","$50,487","$76,962",-0.12,227,67%,53%,"$48,900","$73,006","$49,256","$92,355",-0.14
"Dover, DE",20100,3,94%,73%,"$40,725","$43,164","$36,942","$50,795",-0.22,186,85%,83%,"$26,634","$31,288","$29,246","$35,249",-0.02,2,96%,70%,"$45,000","$46,932","$38,481","$54,643",-0.25,104,76%,68%,"$44,899","$59,447","$40,020","$58,491",-0.07
"Eau Claire, WI",20740,159,79%,73%,"$39,525","$50,000","$36,942","$50,795",-0.06,144,88%,83%,"$30,544","$34,531","$30,785","$36,942",-0.05,159,79%,71%,"$42,761","$53,955","$38,481","$53,874",-0.08,231,66%,64%,"$38,353","$58,033","$37,250","$58,491",-0.02
"Elkhart-Goshen, IN",21140,242,69%,70%,"$33,374","$48,560","$37,558","$53,566",0.01,250,67%,77%,"$26,634","$39,707","$30,785","$40,020",0.1,245,67%,69%,"$33,374","$50,000","$39,867","$57,414",0.03,164,73%,67%,"$37,769","$51,797","$40,020","$59,569",-0.06
"El Paso, TX",21340,83,83%,77%,"$32,373","$38,848","$30,785","$40,020",-0.06,170,87%,89%,"$23,824","$27,489","$25,398","$28,476",0.03,55,85%,76%,"$38,688","$45,322","$33,863","$44,638",-0.10,55,79%,79%,"$34,092","$43,164","$36,326","$46,177",0.00
"Erie, PA",21500,168,79%,69%,"$37,670","$47,941","$36,942","$53,874",-0.10,27,99%,75%,"$29,202","$29,567","$27,706","$36,942",-0.24,143,80%,70%,"$40,725","$50,906","$38,481","$55,105",-0.10,219,68%,59%,"$38,848","$57,000","$37,865","$64,648",-0.10
"Eugene, OR",21660,152,80%,73%,"$38,179","$47,941","$38,327","$52,334",-0.06,147,88%,83%,"$26,978","$30,544","$29,246","$35,403",-0.06,74,84%,72%,"$42,085","$50,000","$40,020","$55,413",-0.12,122,75%,64%,"$43,680","$58,404","$39,559","$61,570",-0.11
"Fayetteville, NC",22180,7,91%,82%,"$33,452","$36,652","$34,633","$42,329",-0.09,80,93%,91%,"$25,030","$26,800","$28,014","$30,785",-0.02,70,84%,75%,"$38,000","$45,000","$36,942","$49,256",-0.09,214,69%,69%,"$37,000","$53,955","$38,481","$55,413",0.01
"Fayetteville-Springdale-Rogers, AR-MO",22220,128,81%,74%,"$37,546","$46,426","$33,863","$45,870",-0.07,82,93%,86%,"$28,507","$30,544","$29,246","$33,863",-0.07,169,79%,74%,"$40,725","$51,797","$35,711","$48,025",-0.04,73,77%,66%,"$42,615","$55,000","$35,403","$53,874",-0.12
"Flagstaff, AZ",22380,101,82%,73%,"$39,419","$47,941","$36,942","$50,795",-0.09,17,100%,90%,"$30,544","$30,544","$27,706","$30,785",-0.1,119,81%,69%,"$43,803","$53,955","$38,481","$55,413",-0.12,195,70%,68%,"$42,615","$61,087","$41,560","$61,570",-0.02
"Florence, SC",22500,216,75%,no data,"$32,373","$43,164",no data,no data,no data,126,90%,no data,"$24,819","$27,699",no data,no data,no data,160,79%,0%,"$35,634","$45,000",no data,no data,no data,205,69%,0%,"$36,000","$52,147",no data,no data,no data
"Fort Collins, CO",22660,164,79%,70%,"$45,000","$57,193","$43,099","$61,570",-0.09,47,96%,83%,"$31,961","$33,344","$33,248","$40,020",-0.13,125,81%,68%,"$50,906","$63,000","$46,177","$67,727",-0.13,220,68%,64%,"$52,000","$76,359","$49,256","$76,962",-0.04
