,OCC1950_NEW,NEW_IND50,YEAR,MIDWEST,NORTHEAST,SOUTH,WEST,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,educ_hs,FEMALE_COUNT,COUNT,FEM_RATIO,OCC_GENDER,LOG_MEDIAN_WAGE
391,Authors,8,1970,0.15789473684210525,0.3157894736842105,0.3157894736842105,0.21052631578947367,0.02631578947368421,0.13157894736842105,0.07894736842105263,0.2631578947368421,0.2631578947368421,0.23684210526315788,17,38,0.4473684210526316,mixed,3.0478587325770583
392,Authors,8,1980,0.16326530612244897,0.23469387755102042,0.20408163265306123,0.3979591836734694,0.061224489795918366,0.08163265306122448,0.05102040816326531,0.35714285714285715,0.3469387755102041,0.10204081632653061,37,98,0.37755102040816324,mixed,2.6823023358104043
393,Authors,8,1990,0.11484593837535013,0.24929971988795518,0.25210084033613445,0.38375350140056025,0.1568627450980392,0.0392156862745098,,0.42016806722689076,0.3473389355742297,0.036414565826330535,169,357,0.4733893557422969,mixed,2.918825819163273
394,Authors,9,1950,,1.0,,,,,,1.0,,,0,1,0.0,mixed,2.8523485844864567
395,Authors,9,1960,0.4,,0.4,0.2,,0.2,0.2,,0.2,0.4,1,5,0.2,male,2.9849203584083557
396,Authors,9,1970,0.5,,0.5,,,,,0.5,,0.5,0,2,0.0,mixed,3.159104158628039
397,Authors,9,1980,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,,0.5,0.16666666666666666,,2,6,0.3333333333333333,mixed,2.630401881364955
398,Authors,9,1990,0.10256410256410256,0.20512820512820512,0.5641025641025641,0.1282051282051282,0.10256410256410256,0.07692307692307693,,0.5897435897435898,0.20512820512820512,0.02564102564102564,19,39,0.48717948717948717,mixed,2.918758513736027
399,"Baggagemen, transportation",5,1950,,0.75,0.25,,,0.25,,,,0.75,0,4,0.0,mixed,2.201400712367148
400,"Baggagemen, transportation",5,1960,0.2,0.28,0.36,0.16,0.12,,,,,0.88,2,25,0.08,male,2.6262170162082303
401,Bakers,1,1990,0.5,,0.25,0.25,0.25,,,,,0.75,1,4,0.25,male,1.8629175803181828
402,Bakers,2,1950,,,1.0,,,,,,,1.0,0,1,0.0,mixed,2.104515179231952
403,Bakers,2,1960,,,,1.0,,,,,,1.0,0,1,0.0,mixed,2.9044638535486467
404,Bakers,2,1990,0.25,0.25,0.25,0.25,0.25,,,0.25,,0.5,0,4,0.0,mixed,2.073662224869345
405,Bakers,3,1950,1.0,,,,,,,1.0,,,0,1,0.0,mixed,2.5000661850539605
406,Bakers,3,1970,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,0.6666666666666666,1,3,0.3333333333333333,mixed,2.3127557124261418
407,Bakers,3,1980,0.4,0.2,0.2,0.2,0.1,,0.1,,,0.8,5,10,0.5,mixed,2.7463846692484415
408,Bakers,3,1990,,0.3,0.5,0.2,0.4,,,,,0.6,5,10,0.5,mixed,2.368773178089206
409,Bakers,4,1950,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182,,,0.09090909090909091,,,0.9090909090909091,0,11,0.0,mixed,2.1115107450904964
410,Bakers,4,1960,0.24651162790697675,0.3627906976744186,0.14883720930232558,0.24186046511627907,0.08372093023255814,0.06511627906976744,0.013953488372093023,0.009302325581395349,0.004651162790697674,0.8232558139534883,22,215,0.10232558139534884,male,2.4844797025232737
411,Bakers,4,1970,0.21428571428571427,0.40476190476190477,0.23809523809523808,0.14285714285714285,0.07142857142857142,0.07142857142857142,,,,0.8571428571428571,6,42,0.14285714285714285,male,2.600035476239882
